totallines,i,refractiveindex,bigradius,a,b,z,anglez,c,anglea,incidentangle,refractiveangle,anglede,dx,ee,et,ex,ey,anglece,angleced,outangle,mycolor
500, 1, 1.500000, 8.000000, 3.000000, 3.000000, 7.416198, 22.024313, -5.291503, 131.409622, 3.100000, 2.066106, 46.524272, -2.447023, 0.493330, 6.524893, 2.042411, 7.734892, 75.208556, 28.684284, 46.052360, purple 
500, 2, 1.500000, 8.000000, 3.000000, 3.000000, 7.416198, 22.024313, -5.291503, 131.409622, 3.200000, 2.132717, 46.457661, -2.440393, 0.493433, 6.527105, 2.056067, 7.731273, 75.107374, 28.649713, 45.986838, magenta 
500, 3, 1.500000, 8.000000, 3.000000, 3.000000, 7.416198, 22.024313, -5.291503, 131.409622, 3.300000, 2.199324, 46.391054, -2.433748, 0.493557, 6.529296, 2.069721, 7.727629, 75.006168, 28.615114, 45.921316, pink 
500, 4, 1.500000, 8.000000, 3.000000, 3.000000, 7.416198, 22.024313, -5.291503, 131.409622, 3.400000, 2.265927, 46.324451, -2.427089, 0.493702, 6.531466, 2.083371, 7.723961, 74.904936, 28.580485, 45.855796, violet 
500, 5, 1.500000, 8.000000, 3.000000, 3.000000, 7.416198, 22.024313, -5.291503, 131.409622, 3.500000, 2.332527, 46.257851, -2.420415, 0.493867, 6.533614, 2.097018, 7.720267, 74.803679, 28.545828, 45.790276, white 
500, 6, 1.500000, 8.000000, 3.000000, 3.000000, 7.416198, 22.024313, -5.291503, 131.409622, 3.600000, 2.399122, 46.191256, -2.413727, 0.494053, 6.535741, 2.110662, 7.716548, 74.702397, 28.511142, 45.724758, orange 
500, 7, 1.500000, 8.000000, 3.000000, 3.000000, 7.416198, 22.024313, -5.291503, 131.409622, 3.700000, 2.465714, 46.124664, -2.407024, 0.494260, 6.537847, 2.124302, 7.712804, 74.601091, 28.476427, 45.659242, yellow 
500, 8, 1.500000, 8.000000, 3.000000, 3.000000, 7.416198, 22.024313, -5.291503, 131.409622, 3.800000, 2.532301, 46.058077, -2.400307, 0.494488, 6.539930, 2.137939, 7.709035, 74.499761, 28.441684, 45.593727, green 
500, 9, 1.500000, 8.000000, 3.000000, 3.000000, 7.416198, 22.024313, -5.291503, 131.409622, 3.900000, 2.598884, 45.991494, -2.393575, 0.494737, 6.541992, 2.151573, 7.705241, 74.398407, 28.406913, 45.528214, lime 
500, 10, 1.500000, 8.000000, 3.000000, 3.000000, 7.416198, 22.024313, -5.291503, 131.409622, 4.000000, 2.665462, 45.924916, -2.386829, 0.495007, 6.544032, 2.165203, 7.701422, 74.297029, 28.372114, 45.462702, brown 
500, 11, 1.500000, 8.000000, 3.000000, 3.000000, 7.416198, 22.024313, -5.291503, 131.409622, 4.100000, 2.732036, 45.858342, -2.380068, 0.495298, 6.546051, 2.178829, 7.697578, 74.195628, 28.337286, 45.397193, olive 
500, 12, 1.500000, 8.000000, 3.000000, 3.000000, 7.416198, 22.024313, -5.291503, 131.409622, 4.200000, 2.798606, 45.791772, -2.373292, 0.495611, 6.548047, 2.192452, 7.693709, 74.094203, 28.302431, 45.331686, blue 
500, 13, 1.500000, 8.000000, 3.000000, 3.000000, 7.416198, 22.024313, -5.291503, 131.409622, 4.300000, 2.865170, 45.725208, -2.366501, 0.495945, 6.550021, 2.206071, 7.689815, 73.992756, 28.267548, 45.266180, cyan 
500, 14, 1.500000, 8.000000, 3.000000, 3.000000, 7.416198, 22.024313, -5.291503, 131.409622, 4.400000, 2.931730, 45.658648, -2.359695, 0.496300, 6.551973, 2.219686, 7.685896, 73.891286, 28.232638, 45.200678, teal 
500, 15, 1.500000, 8.000000, 3.000000, 3.000000, 7.416198, 22.024313, -5.291503, 131.409622, 4.500000, 2.998285, 45.592093, -2.352874, 0.496676, 6.553903, 2.233297, 7.681952, 73.789793, 28.197700, 45.135177, lightgray  
500, 16, 1.500000, 8.000000, 3.000000, 3.000000, 7.416198, 22.024313, -5.291503, 131.409622, 4.600000, 3.064835, 45.525543, -2.346039, 0.497074, 6.555810, 2.246905, 7.677983, 73.688278, 28.162735, 45.069679, gray 
500, 17, 1.500000, 8.000000, 3.000000, 3.000000, 7.416198, 22.024313, -5.291503, 131.409622, 4.700000, 3.131379, 45.458999, -2.339188, 0.497494, 6.557696, 2.260508, 7.673989, 73.586741, 28.127742, 45.004184, darkgray 
500, 18, 1.500000, 8.000000, 3.000000, 3.000000, 7.416198, 22.024313, -5.291503, 131.409622, 4.800000, 3.197918, 45.392460, -2.332322, 0.497935, 6.559558, 2.274106, 7.669970, 73.485182, 28.092723, 44.938692, black 
500, 19, 1.500000, 8.000000, 3.000000, 3.000000, 7.416198, 22.024313, -5.291503, 131.409622, 4.900000, 3.264452, 45.325926, -2.325441, 0.498398, 6.561398, 2.287701, 7.665926, 73.383602, 28.057676, 44.873203, red 
500, 20, 1.500000, 8.000000, 3.000000, 3.000000, 7.416198, 22.024313, -5.291503, 131.409622, 5.000000, 3.330980, 45.259398, -2.318544, 0.498883, 6.563215, 2.301291, 7.661857, 73.282001, 28.022603, 44.807716, purple 
